,FMID,MarketName,Facebook,Twitter,Youtube,Website,has_social_media,city,State,street,County,x,y,Credit,WIC,WICcash,SFMNP,Organic,Flowers,Vegetables,Meat,Nursery,Wine,Coffee,Fruits,PetFood,WildHarvested,updateTime,Location,AddressNumber,PlaceName,StateName,StreetName,StreetNamePreDirectional,StreetNamePostDirectional,ZipCode,StreetNamePrefix,StreetNameSuffix,USPSBox,OccupancySuite
21,1000709,22nd Annual Highlands Business Partnership Farmers Market,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,http://www.highlandsnj.com,True,Highlands,New Jersey,71 waterwitch avenue,Monmouth,-73.994358,40.404837,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7/6/2016 2:37:36 PM,,71,,,waterwitch,,,,,avenue,,
22,1011881,25th Street Market  North Logan at the Library Summer 2016,25th Street Market - North Logan at the Library,,,http://northloganmarket.com,True,North Logan,Utah,475 2500 east north,Cache,-111.8206049,41.7782437,1,0,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/18/2016 10:33:41 AM,,475,,,2500,east,north,,,,,
23,1010966,26th and Allegheny,,,,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,True,Philadelphia,Pennsylvania,26th street,Philadelphia,-75.1722883,40.0040946,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 3:17:20 PM,,,,,26th,,,,,street,,
24,1005299,29th and Wharton Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/29th-wharton,True,Philadelphia,Pennsylvania,29th,Philadelphia,-75.19204,39.9373,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 2:47:10 PM,,,,,29th,,,,,,,
25,1010994,2nd Street Farmers Market,second stage of AMherst,,,http://secondstageAmherst.org,True,Amherst,Virginia,194 second street,Amherst,-79.048573,37.583311,1,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3/4/2016 1:51:55 PM,,194,,,second,,,,,street,,
26,1009959,2nd Street Market  Five Rivers MetroPark,https://www.facebook.com/2ndStreetMarket/,,,http://www.metroparks.org,True,Dayton,Ohio,600 2nd east street,Montgomery,-84.18103,39.762593,1,0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6/30/2016 2:35:22 PM,,600,,,2nd,east,,,,street,,
27,1004950,3 French Hens French Country Market,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,http://www.3frenchhensmarket.blogspot.com,True,Morris,Illinois,123 illinois west ave,Grundy,-88.425186,41.356383,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4/4/2014 11:58:41 PM,Other,123,,,illinois,west,,,,ave,,
28,1010775,30A Farmers Market,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,True,Rosemary Beach,Florida,,Walton,-86.002754,30.279017,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1/16/2015 6:38:15 PM,,,,,,,,,,,,
29,1012342,31  Main Farmers Market at Campus Town,https://www.facebook.com/31mainfarmersmarket/,https://twitter.com/31MainFarmMarkt,,http://www.31mainfarmersmarket.com/,True,Ewing,New Jersey,1928 pennington road,Mercer,-74.783264,40.267025,1,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/7/2016 10:12:34 PM,,1928,,,pennington,,,,,road,,
30,1005636,32nd StreetWaverly Farmers Market,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,http://www.32ndstreetmarket.org,True,Baltimore,Maryland,32nd barclay east street,Baltimore,-76.611,39.3272,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3/14/2014 1:23:50 PM,Closed-off public street,,,,32nd barclay,east,,,,street,,
31,1005310,33rd and Diamond Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,True,Philadelphia,Pennsylvania,33rd north,Philadelphia,-75.187167,39.988802,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 2:28:01 PM,,,,,33rd,north,,,,,,
32,1012784,38th  Meridian Farmers Market,https://www.facebook.com/38th-Meridian-Farmers-Market-501761683311307,,,http://www.meridianfarmersmarket.org,True,Indianapolis,Indiana,3808 meridian north st,Marion,-86.158459,39.825071,1,1,1,1,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,8/12/2016 9:35:18 AM,,3808,,,meridian,north,,,,st,,
33,1012280,39 North Marketplace,39 North,39North Downtown,,http://www.39northdowntown.com,True,Sparks,Nevada,,Washoe,-119.754962,39.534773,1,1,1,1,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7/6/2016 5:19:49 PM,,,,,,,,,,,,
34,1004414,3rd  Curry St Farmers Market,,,,http://www.carsonfarmersmarket.com,True,Carson City,Nevada,3 curry street,Carson City,-119.7678,39.16257,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5/18/2012 4:12:09 PM,Local government building grounds,3,,,curry,,,,,street,,
35,1011213,441 Ministries Farm Stand,,,,,False,Rochester,New York,441 parsells avenue,Monroe,-77.5666043,43.1658344,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/8/2015 9:22:25 AM,,441,,,parsells,,,,,avenue,,
36,1010965,4th and Lehigh Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/fairhill-square,True,Philadelphia,Pennsylvania,4th north street,Philadelphia,-75.138654,39.991748,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 3:11:40 PM,,,,,4th,north,,,,street,,
37,1006234,4th Street Farmers Market,,,,http://www.4thstreetfarmersmarket.com,True,Larimer,Colorado,315 4th east st,,-105.073,40.3954,0,0,0,0,,,,,,,,,,,2011,,315,,,4th,east,,,,st,,
38,1006494,52  Shadeland Avenue Farmers Market,,,,,False,Indianapolis,Indiana,5200 shadeland north avenue,,-86.0476,39.8481,0,0,0,0,,,,,,,,,,,2009,,5200,,,shadeland,north,,,,avenue,,
39,1005304,52nd and Haverford Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,True,Philadelphia,Pennsylvania,52nd north street,Philadelphia,-75.224492,39.965054,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 2:38:14 PM,,,,,52nd,north,,,,street,,
40,1000060,57th Street Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,57 st 9 west ave,New York,-73.985839,40.768159,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 11:06:00 AM,Other,,,,57 st 9,west,,,,ave,,
41,1005306,58th and Chester Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/58th-chester,True,Philadelphia,Pennsylvania,58th street,Philadelphia,-75.228303,39.935721,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 2:35:04 PM,,,,,58th,,,,,street,,
42,1011895,61st Street Farmers Market,http://www.facebook.com/61stStreetFarmersMarket/,http://twitter.com/61market,,http://www.experimentalstation.org/market,True,Chicago,Illinois,6100 blackstone south ave,Cook,-87.5905903,41.7841364,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4/25/2016 3:29:53 PM,,6100,,,blackstone,south,,,,ave,,
43,1010386,6th Ave Farmers Market,https://www.facebook.com/TacomaFarmersMarket,,,http://www.tacomafarmersmarket.com,True,Tacoma,Washington,6th,Pierce,-122.4736263,47.255403,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8/4/2014 1:48:22 PM,Closed-off public street,,,,6th,,,,,,,
44,1012500,6th Street Market in Downtown Tempe,www.facebook.com/6thstmarket/,,,http://arizonacommunityfarmersmarkets.com,True,Tempe,Arizona,6 street and mill avenue,Maricopa,-111.939512,33.42442,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7/12/2016 3:50:15 PM,,6,,,street and mill,,,,,avenue,,
45,1000061,79th Street Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,78 81 west sts,New York,-73.9757,40.7818,1,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 10:54:51 AM,Other,,,,78 81,west,,,,sts,,
46,1000062,82nd Street Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,,New York,-73.95009,40.773749,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 10:50:27 AM,Other,,,,,,,,,,,
47,1008391,84 west farmers market Dothan,,,,,False,Dothan,Alabama,,Houston,-85.449944,31.232252,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/15/2014 9:29:24 AM,,,,,,,,,,,,
48,1001961,8th Avenue City Farmers Market,,,,,False,Cedar Rapids,Iowa,8 2nd ave se st,Linn,-91.6626534,41.972837,1,1,0,1,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4/25/2012 1:17:22 PM,Local government building grounds,8,,,2nd,ave,se,,,st,,
49,1000063,92nd Street Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,,New York,-73.946421,40.780931,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 10:43:59 AM,Other,,,,,,,,,,,
50,1000064,97th Street Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,columbus 97 west st,New York,-73.967012,40.79356,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 10:39:55 AM,Other,,columbus,,97,west,,,,st,,
51,1011989,9th and Grand Farmers Market,,,,http://Farmtoforkks.com,True,Salina,Kansas,304 grand west avenue,Saline,-97.6117504,38.8528359,1,0,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5/28/2016 3:39:24 PM,,304,,,grand,west,,,,avenue,,
52,1000986,9th West Farmers MarketPeoples Market,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,http://www.9thwestfarmersmarket.org,True,SALT LAKE CITY,Utah,1060 900 south west,Salt Lake,-111.9195223,40.7470177,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6/28/2016 1:05:51 AM,,1060,,,900,south,west,,,,,
53,1010617,A  Organic Farmers Market,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/,True,Boynton Beach,Florida,farm,Palm Beach,-80.221052,26.489351,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,9/29/2014 1:37:38 PM,,,farm,,,,,,,,,
54,1001683,A Better Choice Bakery  Market,https://www.facebook.com/nottinghamfarmersmarket,,,,True,Brunswick,Maryland,27 potomac west street,Frederick,-77.6277075,39.313066,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5/3/2012 5:01:00 PM,Co-located with wholesale market facility,27,,,potomac,west,,,,street,,
55,1009004,A Growers Market,,,,,False,Tallahassee,Florida,229 lake ella drive,Leon,-84.2792304,30.4624713,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5/6/2014 10:28:06 PM,Other,229,,,lake ella,,,,,drive,,
56,1001887,AAFFA Community Farmers Market,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,,True,Anderson,South Carolina,402 murray north avenue,Anderson,-82.652159,34.506706,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4/8/2014 1:54:22 PM,Local government building grounds,402,,,murray,north,,,,avenue,,
57,1007585,AAMC Farmerss Market,,,,,False,Annapolis,Maryland,2001 sajak pavilion medical parkway,Anne Arundel,-76.6123,39.006,0,0,0,0,,,,,,,,,,,7/23/2011 11:54:21 PM,,2001,sajak,pavilion,medical,,,,,parkway,,
58,1004573,Abbeville Farmers Market,,,,,False,Abbeville,South Carolina,118 at livery stable trinity street,Abbeville,-82.380242,34.177429,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/11/2013 1:41:58 PM,Local government building grounds,118,at livery stable,,trinity,,,,,street,,
59,1009028,ABBEVILLE FARMERS MARKET,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,,True,Abbeville,Alabama,kirkland street,Henry,-85.250365,31.571271,1,0,0,0,,,,,,,,,,,4/5/2014 7:27:30 PM,,,,,kirkland,,,,,street,,
60,1004598,Abbotsford Farmers Market,,,,,False,Abbotsford,Wisconsin,1011 spruce east st,Clark,-90.307145,44.945665,0,1,0,1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5/7/2012 10:47:54 AM,Private business parking lot,1011,,,spruce,east,,,,st,,
61,1003865,Abbott Northwestern Farmers Market,,,,http://www.iatp.org/minimarkets,True,Minneapolis,Minnesota,800 28th east st,Hennepin,-93.2629,44.9556,0,0,0,0,,,,,,,,,,,May 26 2010 11:24 PM,,800,,,28th,east,,,,st,,
62,1002947,Aberdeen Farmers Market,,,,http://www.dakotaflavor.com/category.asp?catid=12,True,Aberdeen,South Dakota,,Brown,-98.4866,45.4631,0,0,0,0,,,,,,,,,,,2009,,,,,,,,,,,,
63,1004031,Abilene Farmers Market,,,,,False,Abilene,Kansas,1st buckeye east st,Dickinson,-97.2139,38.9153,0,0,0,0,,,,,,,,,,,2009,,,,,1st buckeye,east,,,,st,,
64,1010487,Abingdon Farmers Market,https://www.facebook.com/abingdonfarmersmarket,,,http://www.abingdonfarmersmarket.com,True,Abingdon,Virginia,cummings st remsburg drive,Washington,-81.977094,36.708934,1,0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3/2/2016 10:20:28 AM,,,cummings,st,remsburg,,,,,drive,,
65,1000065,Abingdon Square Greenmarket,https://www.facebook.com/ManhattanGreenmarkets,,,http://www.grownyc.org,True,New York,New York,8th st ave,New York,-74.00528,40.737177,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/24/2013 10:36:51 AM,Other,,,,8th,,,,st,ave,,
66,1006988,Abington,,,,http://www.abingtonsage.com,True,Abington,Massachusetts,362 plymouth street,Plymouth,-70.9369,42.119,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/14/2014 10:44:35 AM,Local government building grounds,362,,,plymouth,,,,,street,,
67,1007070,Abington Farmers Market,,,,,False,Clarks Summit,Pennsylvania,12055 rose drove,Lackawanna,-75.7746,41.425,0,0,0,0,,,,,,,,,,,2009,,12055,,,rose drove,,,,,,,
68,1011313,Abita Springs Farmers Market,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,,,,True,Abita Springs,Louisiana,22049 main st,St. Tammany,-90.0389129,30.4793215,1,1,0,1,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6/30/2016 1:50:15 PM,,22049,,,main,,,,,st,,
69,1004762,ABQ Uptown Growers Market,,,,http://www.abquptowngrowersmarket.org,True,Albququerque,New Mexico,ne,Bernalillo,-106.565838,35.103988,1,1,0,1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/5/2014 2:51:15 PM,Other,,,,,,ne,,,,,
70,1009543,ABV Farm Market,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,,,http://www.appleblossomvillage.com/,True,Mount Bethe,Pennsylvania,690 allegheny road,,-75.0998,40.8743,1,0,0,0,,,,,,,,,,,2013,,690,,,allegheny,,,,,road,,
71,1002108,Acadia Farmers Market in Town Hill,www.Facebook.com/AcadiaFarmersMarket,,,,True,Town Hill,Maine,,Hancock,-68.9716,44.5908,0,0,0,0,,,,,,,,,,,2009,,,,,,,,,,,,
72,1007575,Acadiana Farmers Market,,,,,False,Opelousas,Louisiana,801 foreman drive,Lafayette,-92.0634,30.2147,0,0,0,0,,,,,,,,,,,2011,,801,,,foreman,,,,,drive,,
73,1005122,Ace Farmers Market,,,,,False,Rome,New York,115 black river blvd,Oneida,-75.4541,43.2098,0,0,0,0,,,,,,,,,,,2011,,115,,,black river,,,,,blvd,,
74,1008461,Acme Ranch Truck Patch,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,True,Birch Tree,Missouri,rr1 box 146,Shannon,-91.492638,36.991165,0,0,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/25/2013 3:20:55 PM,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",,,,,,,,,,rr1 box 146,
75,1011180,Acreage Green Market,https://www.facebook.com/AcreageGreenmarket,,,http://Www.AcreageGreenMarket.com,True,Loxahatchee,Florida,6701 140th north ave,Palm Beach,-80.263351,26.775639,1,0,0,0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5/21/2015 2:02:58 AM,,6701,,,140th,,north,,,ave,,
76,1003469,ActonBoxborough Farmers Market,,,,http://www.ABFarmersMarket.org,True,Acton,Massachusetts,1 pearl st,Middlesex,-71.47415,42.47518,0,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5/24/2012 1:08:35 PM,Closed-off public street,1,,,pearl,,,,,st,,
77,1003112,Acushnet Farmers Market,https://www.facebook.com/pages/Acushnet-Farmers-Market/104135469618299,https://twitter.com/eventsonthefarm,,http://www.acushnetfarmersmarket.com,True,Acushnet,Massachusetts,186 leonard street,Bristol,-70.900663,41.720547,1,1,0,1,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6/29/2016 4:28:39 PM,,186,,,leonard,,,,,street,,
78,1007519,Acworth Farmers Market,,,,,False,Acworth,Georgia,main,Cobb,-84.6767,34.0657,0,0,0,0,,,,,,,,,,,2009,,,,,main,,,,,,,
79,1001393,Ada Farmers Market,,,,,False,Ada,Oklahoma,12th street,Pontotoc,-96.679869,34.773589,0,0,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/2/2014 10:18:53 AM,Private business parking lot,,,,12th,,,,,street,,
80,1001083,Ada Farmers Market,https://www.facebook.com/adafarmersmarket,https://twitter.com/AdaFarmersMkt,,http://www.adafarmersmarket.com,True,Ada,Michigan,7239 thornapple river dr,Kent,-85.4889683,42.9553715,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3/19/2015 11:44:10 AM,,7239,,,thornapple river,,,,,dr,,
81,1006969,AdairCo Farmers Market,,,,,False,Columbia,Kentucky,409 fairground street,Adair County,-85.297,37.1043,0,0,0,0,,,,,,,,,,,2011,,409,,,fairground,,,,,street,,
82,1010467,Adairsville Farmers Market,Adairsville Farmers Market,,,http://www.adairsvillefarmersmarket.com,True,Adairsville,Georgia,7446 140 ga,Bartow,-84.929569,34.375727,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8/7/2014 10:08:33 AM,Private business parking lot,7446,,,140,,,,ga,,,
83,1011328,Adams County Farmers Market Association PA,Adams County Farm Fresh Markets,,,http://www.acfarmersmarkets.org,True,Gettysburg,Pennsylvania,1863 gettysburg village dr,Adams,-77.201576,39.794081,1,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6/27/2016 3:54:21 PM,,1863,,,gettysburg village,,,,,dr,,
